数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店RevPAR,,元,周,2020-03-08T00:00:00Z,57.7965,-55.9,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-03-15T00:00:00Z,36.77,-42.6,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-03-15T00:00:00Z,166.52,-19.57,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-03-15T00:00:00Z,61.2294,-53.83,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-03-22T00:00:00Z,40.01,-38.43,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-03-22T00:00:00Z,163.63,-21.84,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-03-22T00:00:00Z,65.4684,-51.88,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-03-29T00:00:00Z,43.04,-32.42,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-03-29T00:00:00Z,160.68,-21.93,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-03-29T00:00:00Z,69.1567,-47.24,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-04-05T00:00:00Z,43.41,-29.92,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-04-05T00:00:00Z,161.77,-26.04,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-04-05T00:00:00Z,70.2244,-48.16,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-04-12T00:00:00Z,46.32,-28.6,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-04-12T00:00:00Z,160.19,-22.92,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-04-12T00:00:00Z,74.2,-44.96,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-04-19T00:00:00Z,49.52,-27.09,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-04-19T00:00:00Z,161.39,-24.37,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-04-19T00:00:00Z,79.9203,-44.86,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-04-26T00:00:00Z,49.74,-22.22,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-04-26T00:00:00Z,161.17,-23.53,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-04-26T00:00:00Z,80.166,-40.52,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-05-03T00:00:00Z,52.71,-21.57,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-05-03T00:00:00Z,182.08,-28.67,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-05-03T00:00:00Z,95.9744,-44.06,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-05-10T00:00:00Z,48.12,-21.3,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-05-10T00:00:00Z,163.68,-19.81,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-05-10T00:00:00Z,78.7628,-36.89,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-05-17T00:00:00Z,53.69,-18.12,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-05-17T00:00:00Z,166.37,-19.08,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-05-17T00:00:00Z,89.3241,-33.74,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-05-24T00:00:00Z,55.77,-14.74,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-05-24T00:00:00Z,167.25,-17.81,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-05-24T00:00:00Z,93.2753,-29.93,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-05-31T00:00:00Z,54.81,-8.53,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-05-31T00:00:00Z,167.7,-16.48,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-05-31T00:00:00Z,91.9164,-23.6,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-06-07T00:00:00Z,55.04,-9.68,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-06-07T00:00:00Z,169.41,-19.32,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-06-07T00:00:00Z,93.2433,-27.14,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-06-14T00:00:00Z,58.11,-8.49,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-06-14T00:00:00Z,171.05,-14.82,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-06-14T00:00:00Z,99.3972,-22.05,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-06-21T00:00:00Z,56.72,-14.01,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-06-21T00:00:00Z,165.86,-17.57,,,酒店之家(STR)
