period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W50,2017,50,2017-12-04,2017-12-10,全国,全部,,,,,,225.38,,酒店之家
2017W50,2017,50,2017-12-04,2017-12-10,全国,经济型,,,,,,146.81,,酒店之家
2017W50,2017,50,2017-12-04,2017-12-10,全国,中档型,,,,,,235.84,,酒店之家
2017W50,2017,50,2017-12-04,2017-12-10,全国,高档型,,,,,,368.33,,酒店之家
2017W50,2017,50,2017-12-04,2017-12-10,全国,豪华型,,,,,,723.21,,酒店之家
2017W51,2017,51,2017-12-11,2017-12-17,全国,全部,,,,,,225.58,,酒店之家
2017W51,2017,51,2017-12-11,2017-12-17,全国,经济型,,,,,,145.27,,酒店之家
2017W51,2017,51,2017-12-11,2017-12-17,全国,中档型,,,,,,233.15,,酒店之家
2017W51,2017,51,2017-12-11,2017-12-17,全国,高档型,,,,,,368.33,,酒店之家
2017W51,2017,51,2017-12-11,2017-12-17,全国,豪华型,,,,,,726.27,,酒店之家
2017W52,2017,52,2017-12-18,2017-12-24,全国,全部,,,,,,228.06,,酒店之家
2017W52,2017,52,2017-12-18,2017-12-24,全国,经济型,,,,,,149.71,,酒店之家
2017W52,2017,52,2017-12-18,2017-12-24,全国,中档型,,,,,,235.81,,酒店之家
2017W52,2017,52,2017-12-18,2017-12-24,全国,高档型,,,,,,365.66,,酒店之家
2017W52,2017,52,2017-12-18,2017-12-24,全国,豪华型,,,,,,723.79,,酒店之家
2018W01,2018,1,2018-01-01,2018-01-07,全国,全部,,,,,,216.21,,酒店之家
2018W01,2018,1,2018-01-01,2018-01-07,全国,经济型,,,,,,142.45,,酒店之家
2018W01,2018,1,2018-01-01,2018-01-07,全国,中档型,,,,,,226.38,,酒店之家
2018W01,2018,1,2018-01-01,2018-01-07,全国,高档型,,,,,,351.92,,酒店之家
2018W01,2018,1,2018-01-01,2018-01-07,全国,豪华型,,,,,,703.09,,酒店之家
2018W02,2018,2,2018-01-08,2018-01-14,全国,全部,,,,,,220.23,,酒店之家
2018W02,2018,2,2018-01-08,2018-01-14,全国,经济型,,,,,,143.19,,酒店之家
2018W02,2018,2,2018-01-08,2018-01-14,全国,中档型,,,,,,229.45,,酒店之家
2018W02,2018,2,2018-01-08,2018-01-14,全国,高档型,,,,,,358.93,,酒店之家
2018W02,2018,2,2018-01-08,2018-01-14,全国,豪华型,,,,,,708.16,,酒店之家
2018W03,2018,3,2018-01-15,2018-01-21,全国,全部,,,,,,225.03,,酒店之家
2018W03,2018,3,2018-01-15,2018-01-21,全国,经济型,,,,,,145.45,,酒店之家
2018W03,2018,3,2018-01-15,2018-01-21,全国,中档型,,,,,,230.91,,酒店之家
2018W03,2018,3,2018-01-15,2018-01-21,全国,高档型,,,,,,364.15,,酒店之家
2018W03,2018,3,2018-01-15,2018-01-21,全国,豪华型,,,,,,727.46,,酒店之家
2018W04,2018,4,2018-01-22,2018-01-28,全国,全部,,,,,,229.45,,酒店之家
2018W04,2018,4,2018-01-22,2018-01-28,全国,经济型,,,,,,146.72,,酒店之家
2018W04,2018,4,2018-01-22,2018-01-28,全国,中档型,,,,,,234.91,,酒店之家
2018W04,2018,4,2018-01-22,2018-01-28,全国,高档型,,,,,,365.35,,酒店之家
2018W04,2018,4,2018-01-22,2018-01-28,全国,豪华型,,,,,,736.19,,酒店之家
2018W05,2018,5,2018-01-29,2018-02-04,全国,全部,,,,,,232.22,,酒店之家
2018W05,2018,5,2018-01-29,2018-02-04,全国,经济型,,,,,,146.78,,酒店之家
2018W05,2018,5,2018-01-29,2018-02-04,全国,中档型,,,,,,233.86,,酒店之家
2018W05,2018,5,2018-01-29,2018-02-04,全国,高档型,,,,,,362.35,,酒店之家
2018W05,2018,5,2018-01-29,2018-02-04,全国,豪华型,,,,,,736.47,,酒店之家
2018W06,2018,6,2018-02-05,2018-02-11,全国,全部,,,,,,230.64,,酒店之家
2018W06,2018,6,2018-02-05,2018-02-11,全国,经济型,,,,,,145.84,,酒店之家
2018W06,2018,6,2018-02-05,2018-02-11,全国,中档型,,,,,,229.81,,酒店之家
2018W06,2018,6,2018-02-05,2018-02-11,全国,高档型,,,,,,355.88,,酒店之家
2018W06,2018,6,2018-02-05,2018-02-11,全国,豪华型,,,,,,715.33,,酒店之家
2018W07,2018,7,2018-02-12,2018-02-18,全国,全部,,,,,,315.06,,酒店之家
2018W07,2018,7,2018-02-12,2018-02-18,全国,经济型,,,,,,191.91,,酒店之家
2018W07,2018,7,2018-02-12,2018-02-18,全国,中档型,,,,,,296.85,,酒店之家
